"filename", "language", "JavaScript", "JSON", "SCSS", "XML", "CSS", "Markdown", "JSON with Comments", "comment", "blank", "total"
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/team/[id].js", "JavaScript", 177, 0, 0, 0, 0, 0, 0, 0, 14, 191
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/testimonial.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 0, 4, 126
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/css/animate.min.css", "CSS", 0, 0, 0, 0, 2705, 0, 0, 16, 456, 3177
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/css/bootstrap.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 5, 0, 7
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/css/flaticon.css", "CSS", 0, 0, 0, 0, 73, 0, 0, 0, 4, 77
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/css/fontawesome-all.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 4, 0, 5
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/css/magnific-popup.css", "CSS", 0, 0, 0, 0, 310, 0, 0, 6, 36, 352
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/css/odometer.css", "CSS", 0, 0, 0, 0, 89, 0, 0, 0, 0, 89
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/css/responsive.css", "CSS", 0, 0, 0, 0, 1394, 0, 0, 6, 25, 1425
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/css/slick.css", "CSS", 0, 0, 0, 0, 104, 0, 0, 1, 15, 120
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/css/spacing.css", "CSS", 0, 0, 0, 0, 75, 0, 0, 8, 10, 93
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/css/style.css", "CSS", 0, 0, 0, 0, 3889, 0, 0, 165, 736, 4790
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/css/swiper-bundle.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 11, 1, 13
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/fonts/fa-brands-400.svg", "XML", 0, 0, 0, 3717, 0, 0, 0, 0, 1, 3718
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/fonts/fa-regular-400.svg", "XML", 0, 0, 0, 801, 0, 0, 0, 0, 1, 802
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/fonts/fa-solid-900.svg", "XML", 0, 0, 0, 5034, 0, 0, 0, 0, 1, 5035
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/fonts/flaticon_reland.scss", "SCSS", 0, 0, 93, 0, 0, 0, 0, 0, 5, 98
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/fonts/flaticon_reland.svg", "XML", 0, 0, 0, 66, 0, 0, 0, 0, 1, 67
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/img/banner/mask_bg.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/assets/img/banner/shape.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/public/vercel.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/util/blog.json", "JSON", 0, 42, 0, 0, 0, 0, 0, 0, 0, 42
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/util/project.json", "JSON", 0, 98, 0, 0, 0, 0, 0, 0, 0, 98
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/util/team.json", "JSON", 0, 74, 0, 0, 0, 0, 0, 0, 0, 74
"Total", "-", 7026, 5022, 93, 9628, 8643, 1, 4, 264, 1678, 32359
